epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.5881,1.54772,3.30065,1.48362,0.72519,0.18978,0.19579,0.12981,1.32512,3.10559,1.21907,0.000543038,0.000543038,0.000543038
2,27.1141,1.31171,2.11389,1.29349,0.91301,0.13863,0.18842,0.13081,1.41871,2.63833,1.37125,0.00108783,0.00108783,0.00108783
3,39.2,1.2868,1.86449,1.2408,0.7037,0.20803,0.18788,0.09713,1.61666,3.55682,1.50501,0.00162161,0.00162161,0.00162161
4,51.5156,1.29638,1.64161,1.24841,0.82564,0.23176,0.26803,0.16411,1.55387,2.47933,1.47921,0.00161749,0.00161749,0.00161749
5,63.7436,1.19518,1.40632,1.20236,0.88357,0.31387,0.36616,0.22726,1.40092,1.69308,1.33539,0.00160099,0.00160099,0.00160099
6,75.6832,1.16767,1.30704,1.19641,0.91029,0.39051,0.42595,0.28683,1.27825,1.44759,1.28344,0.00158448,0.00158448,0.00158448
7,87.6014,1.10945,1.16294,1.1375,0.896,0.33352,0.40536,0.27532,1.23167,1.31871,1.25882,0.00156798,0.00156798,0.00156798
8,99.8664,1.04286,1.09485,1.1346,0.92321,0.41241,0.47136,0.32391,1.14337,1.26932,1.1665,0.00155148,0.00155148,0.00155148
9,112.251,1.04054,1.04057,1.13628,0.92035,0.42701,0.46112,0.33651,1.05009,1.154,1.13814,0.00153497,0.00153497,0.00153497
10,124.246,0.98429,0.9525,1.08721,0.96366,0.46572,0.47812,0.36248,1.00989,0.92152,1.128,0.00151847,0.00151847,0.00151847
11,136.157,0.99122,0.9127,1.0907,0.94266,0.42264,0.48436,0.3492,1.04047,0.96207,1.11806,0.00150197,0.00150197,0.00150197
12,148.213,0.93182,0.87083,1.06883,0.94732,0.40511,0.45761,0.35784,0.93508,1.02999,1.06403,0.00148546,0.00148546,0.00148546
13,160.037,0.89938,0.83372,1.05985,0.92688,0.4635,0.49968,0.37673,0.94478,0.91645,1.06938,0.00146896,0.00146896,0.00146896
14,172.279,0.89296,0.81898,1.04694,0.93663,0.44891,0.49638,0.38497,0.90009,0.9499,1.03258,0.00145246,0.00145246,0.00145246
15,184.585,0.88572,0.77459,1.03594,0.94403,0.44891,0.53528,0.39101,0.93113,0.84657,1.06225,0.00143595,0.00143595,0.00143595
16,196.63,0.84301,0.74693,1.01919,0.98056,0.45118,0.5171,0.40392,0.93128,0.76221,1.10776,0.00141945,0.00141945,0.00141945
17,208.552,0.82273,0.75643,1.00927,0.97084,0.45985,0.56138,0.41856,0.85431,0.72188,1.03867,0.00140295,0.00140295,0.00140295
18,220.509,0.83535,0.72082,1.01424,0.96999,0.45724,0.50633,0.38994,0.84833,0.7336,1.0267,0.00138644,0.00138644,0.00138644
19,232.611,0.84339,0.73381,1.02766,0.97126,0.4562,0.53597,0.40984,0.81557,0.69617,1.00856,0.00136994,0.00136994,0.00136994
20,244.613,0.82174,0.72651,1.0146,0.94431,0.47445,0.52769,0.40486,0.81663,0.70534,0.98495,0.00135344,0.00135344,0.00135344
21,256.739,0.7893,0.6818,1.00541,0.94234,0.4562,0.51878,0.39014,0.8491,0.857,1.02938,0.00133693,0.00133693,0.00133693
22,268.655,0.77991,0.67707,0.99336,0.97728,0.47445,0.52752,0.42114,0.73435,0.62337,0.97238,0.00132043,0.00132043,0.00132043
23,280.585,0.77541,0.67765,0.995,0.48025,0.56136,0.5241,0.41263,0.78239,0.66402,0.96893,0.00130393,0.00130393,0.00130393
24,292.698,0.76294,0.62779,0.97813,0.97597,0.4635,0.53323,0.41991,0.74853,0.68175,0.95954,0.00128742,0.00128742,0.00128742
25,304.759,0.74295,0.6343,0.97048,0.51484,0.53556,0.55496,0.43382,0.79355,0.63984,0.97491,0.00127092,0.00127092,0.00127092
26,316.835,0.73831,0.60597,0.9744,0.9754,0.4708,0.50999,0.42927,0.69971,0.62629,0.92818,0.00125442,0.00125442,0.00125442
27,328.732,0.7214,0.60167,0.96796,0.47268,0.53921,0.55121,0.43181,0.75621,0.59461,0.92539,0.00123791,0.00123791,0.00123791
28,340.638,0.70008,0.56369,0.95697,0.65657,0.52461,0.54482,0.43022,0.71024,0.59187,0.93923,0.00122141,0.00122141,0.00122141
29,352.749,0.70011,0.58128,0.9625,0.9606,0.4708,0.57124,0.43222,0.74725,0.6897,0.96253,0.00120491,0.00120491,0.00120491
30,364.921,0.71723,0.59209,0.96064,0.56621,0.57842,0.55522,0.43248,0.70864,0.59221,0.94861,0.0011884,0.0011884,0.0011884
31,376.854,0.67817,0.55815,0.94431,0.98808,0.4484,0.51814,0.42588,0.69852,0.69925,0.92587,0.0011719,0.0011719,0.0011719
32,388.845,0.69029,0.56345,0.95487,0.67697,0.59803,0.56513,0.44819,0.7191,0.6052,0.93618,0.0011554,0.0011554,0.0011554
33,401.005,0.68738,0.5514,0.96203,0.49053,0.54354,0.53628,0.44103,0.65339,0.59938,0.91696,0.00113889,0.00113889,0.00113889
34,413.201,0.66453,0.53495,0.94998,0.92515,0.50928,0.55698,0.44171,0.67652,0.56384,0.90912,0.00112239,0.00112239,0.00112239
35,425.293,0.67961,0.55268,0.95761,0.76149,0.54602,0.56929,0.46503,0.62861,0.53806,0.91107,0.00110589,0.00110589,0.00110589
36,437.239,0.64897,0.53415,0.93437,0.56534,0.55928,0.57047,0.45086,0.70397,0.54805,0.95727,0.00108938,0.00108938,0.00108938
37,449.243,0.64929,0.52726,0.93526,0.62211,0.61696,0.60804,0.47956,0.63384,0.50667,0.90069,0.00107288,0.00107288,0.00107288
38,461.291,0.64991,0.50717,0.94653,0.58984,0.55882,0.5524,0.44409,0.64801,0.55818,0.91118,0.00105638,0.00105638,0.00105638
39,473.418,0.62561,0.50405,0.92148,0.67502,0.62494,0.59889,0.47644,0.60928,0.55714,0.90346,0.00103987,0.00103987,0.00103987
40,485.469,0.59927,0.48454,0.92185,0.61537,0.56247,0.56867,0.46483,0.61421,0.50648,0.88338,0.00102337,0.00102337,0.00102337
41,497.543,0.63835,0.50867,0.94168,0.65192,0.60533,0.58333,0.46484,0.60069,0.49951,0.90466,0.00100687,0.00100687,0.00100687
42,509.519,0.60475,0.50186,0.92806,0.58336,0.63844,0.58408,0.46522,0.58539,0.50359,0.889,0.000990365,0.000990365,0.000990365
43,521.559,0.59913,0.476,0.91351,0.61647,0.59735,0.57874,0.46684,0.62396,0.53772,0.92179,0.000973861,0.000973861,0.000973861
44,533.708,0.60839,0.47694,0.92526,0.62755,0.59735,0.57418,0.47466,0.5924,0.49809,0.89916,0.000957358,0.000957358,0.000957358
45,545.863,0.60547,0.47156,0.92818,0.63069,0.59005,0.58545,0.47477,0.56437,0.46311,0.87711,0.000940855,0.000940855,0.000940855
46,557.989,0.58925,0.46334,0.91979,0.64211,0.62274,0.58325,0.47223,0.55788,0.47289,0.88251,0.000924352,0.000924352,0.000924352
47,569.871,0.60298,0.49296,0.92926,0.64687,0.62859,0.5948,0.47402,0.60444,0.48081,0.91678,0.000907848,0.000907848,0.000907848
48,581.935,0.5651,0.44636,0.90551,0.68222,0.5937,0.56408,0.45736,0.59881,0.47801,0.90187,0.000891345,0.000891345,0.000891345
